R1,Hct,Category,Y
0.581,0.38,Arterial,0.92
0.593,0.4,Arterial,0.92
0.599,0.42,Arterial,0.92
0.602,0.45,Arterial,0.92
0.633,0.46,Arterial,0.92
0.599,0.38,Venonus,0.69
0.617,0.4,Venonus,0.69
0.627,0.42,Venonus,0.69
0.667,0.46,Venonus,0.69
