Y,R1,Hct
0.89,0.43,0.31
0.74,0.44,0.31
0.62,0.45,0.31
0.5,0.46,0.31
0.79,0.48,0.45
0.75,0.5,0.45
0.59,0.51,0.45
0.49,0.52,0.45
0.79,0.54,0.56
0.67,0.56,0.56
0.58,0.57,0.56
0.42,0.59,0.56
0.87,0.57,0.63
0.74,0.58,0.63
0.62,0.6,0.63
0.5,0.61,0.63
0.86,0.62,0.75
0.71,0.65,0.75
0.61,0.67,0.75
0.49,0.69,0.75
0.88,0.71,1
0.79,0.78,1
0.71,0.77,1
0.57,0.8,1
